Run,Interatomic Distance (Bohr),Interatomic Distance (Å),Total Energy (eV)
0,1.000,0.5292,-181.543698
1,1.020,0.5398,-187.594293
2,1.040,0.5503,-193.372673
3,1.060,0.5609,-198.893318
4,1.080,0.5715,-204.168958
5,1.100,0.5821,-209.203775
6,1.120,0.5927,-214.028305
7,1.140,0.6033,-218.691184
8,1.160,0.6138,-223.181868
9,1.180,0.6244,-227.488635
10,1.200,0.635,-231.604643
11,1.220,0.6456,-235.526884
12,1.240,0.6562,-239.255314
13,1.260,0.6668,-242.792175
14,1.280,0.6773,-246.141341
15,1.300,0.6879,-249.308019
16,1.320,0.6985,-252.298529
17,1.340,0.7091,-255.119970
18,1.360,0.7197,-257.779951
19,1.380,0.7303,-260.286667
20,1.400,0.7408,-262.648542
21,1.420,0.7514,-264.874331
22,1.440,0.762,-266.972920
23,1.460,0.7726,-268.953209
24,1.480,0.7832,-270.824224
25,1.500,0.7938,-272.594892
26,1.520,0.8043,-274.274006
27,1.540,0.8149,-275.870079
28,1.560,0.8255,-277.390848
29,1.580,0.8361,-278.842200
30,1.600,0.8467,-280.225339
31,1.620,0.8573,-281.534417
32,1.640,0.8679,-282.764440
33,1.660,0.8784,-283.918916
34,1.680,0.889,-285.003278
35,1.700,0.8996,-286.021783
36,1.720,0.9102,-286.977947
37,1.740,0.9208,-287.874971
38,1.760,0.9314,-288.715835
39,1.780,0.9419,-289.503427
40,1.800,0.9525,-290.240424
41,1.820,0.9631,-290.929490
42,1.840,0.9737,-291.573014
43,1.860,0.9843,-292.173435
44,1.880,0.9949,-292.733018
45,1.900,1.0054,-293.253876
46,1.920,1.016,-293.738029
47,1.940,1.0266,-294.187418
48,1.960,1.0372,-294.603928
49,1.980,1.0478,-294.989321
50,2.000,1.0584,-295.345227
51,2.020,1.0689,-295.673295
52,2.040,1.0795,-295.974951
53,2.060,1.0901,-296.251666
54,2.080,1.1007,-296.504795
55,2.100,1.1113,-296.735598
56,2.120,1.1219,-296.945301
57,2.140,1.1324,-297.134989
58,2.160,1.143,-297.305780
59,2.180,1.1536,-297.458500
60,2.200,1.1642,-297.594016
61,2.220,1.1748,-297.712951
62,2.240,1.1854,-297.816188
63,2.260,1.1959,-297.904984
64,2.280,1.2065,-297.980704
65,2.300,1.2171,-298.044669
66,2.320,1.2277,-298.097863
67,2.340,1.2383,-298.141191
68,2.360,1.2489,-298.175367
69,2.380,1.2594,-298.201066
70,2.400,1.27,-298.218836
71,2.420,1.2806,-298.229224
72,2.440,1.2912,-298.232805
73,2.460,1.3018,-298.230009
74,2.480,1.3124,-298.221224
75,2.500,1.3229,-298.206891
76,2.520,1.3335,-298.187350
77,2.540,1.3441,-298.163050
78,2.560,1.3547,-298.134280
79,2.580,1.3653,-298.101322
80,2.600,1.3759,-298.064542
81,2.620,1.3864,-298.024249
82,2.640,1.397,-297.980705
83,2.660,1.4076,-297.934179
84,2.680,1.4182,-297.884900
85,2.700,1.4288,-297.833098
86,2.720,1.4394,-297.779010
87,2.740,1.4499,-297.722852
88,2.760,1.4605,-297.664845
89,2.780,1.4711,-297.605183
90,2.800,1.4817,-297.544031
91,2.820,1.4923,-297.481545
92,2.840,1.5029,-297.417867
93,2.860,1.5134,-297.353158
94,2.880,1.524,-297.287539
95,2.900,1.5346,-297.221155
96,2.920,1.5452,-297.154151
97,2.940,1.5558,-297.086656
98,2.960,1.5664,-297.018758
99,2.980,1.5769,-296.950533
100,3.000,1.5875,-296.882081
101,3.020,1.5981,-296.813459
102,3.040,1.6087,-296.744749
103,3.060,1.6193,-296.676061
104,3.080,1.6299,-296.607457
105,3.100,1.6404,-296.539005
106,3.120,1.651,-296.470755
107,3.140,1.6616,-296.402742
108,3.160,1.6722,-296.335007
109,3.180,1.6828,-296.267574
110,3.200,1.6934,-296.200481
